Case	Converged	Monotone	Algo12Diff	LastTR	ObjSpeed	ConSpeed
O2_PF5	Alg1	Osc	VeryDiff	Small	Alg2Faster	Alg1Faster
O2_PIF0	Both	Osc	VeryDiff	Small	Alg1Faster	Alg1Faster
O2_PIF1	Both	Osc	Different	Small	Alg2Faster	Alg2Faster
O2_PIF2	Both	Osc	Likewise	Small	Alg2Faster	Alg2Faster
O2_PIF3	Both	Osc	Likewise	Small	Alg2Faster	Alg1Faster
O2_PIF4	Fail	Osc	Different	Small	Alg1Faster	Alg1Faster
O2_PIF5	Fail	Osc	Different	Small	Alg1Faster	Alg1Faster
O2_X0	Both	Osc	Identical	Small	Similar	Similar
O2_X1	Both	Osc	Identical	Small	Similar	Similar
O2_X2	Both	Osc	Identical	Small	Similar	Similar
O2_X3	Both	Osc	Identical	Small	Similar	Similar
O2_X4	Both	Osc	Identical	Small	Similar	Similar
O2_XF0	Both	Osc	Identical	Small	Similar	Similar
O2_XF1	Both	Osc	Identical	Small	Similar	Similar
O2_XF2	Both	Osc	Identical	Small	Similar	Similar
O2_XF3	Both	Osc	Identical	Small	Similar	Similar
O2_XF4	Both	Osc	Identical	Small	Similar	Similar
O2_XIF0	Both	Osc	VeryDiff	Small	Alg1Faster	Alg1Faster
O2_XIF1	Both	Osc	VeryDiff	Small	Alg1Faster	Alg1Faster
O2_XIF2	Both	Osc	VeryDiff	Small	Alg1Faster	Alg1Faster
O2_XIF3	Both	Osc	VeryDiff	Small	Alg1Faster	Alg1Faster
O2_XIF4	Both	Osc	Identical	Small	Alg2Faster	Alg2Faster
O2_XR0	Both	Mono	Identical	Small	Similar	Similar
O2_XR1	Both	Mono	Likewise	Small	Alg1Faster	Alg2Faster
O2_XR2	Both	Mono	Likewise	Small	Alg1Faster	Alg2Faster
O2_XR3	Both	Mono	Identical	Small	Similar	Similar
O2_XR4	Both	Mono	Identical	Small	Similar	Similar
O2_XRF0	Both	Mono	Identical	Small	Similar	Similar
O2_XRF1	Both	Mono	Identical	Small	Similar	Similar
O2_XRF2	Both	Mono	Identical	Small	Similar	Similar
O2_XRF3	Both	Mono	Identical	Small	Similar	Similar
O2_XRF4	Both	Mono	Identical	Small	Similar	Similar
O2_XRIF0	Both	Mono	Different	Small	Alg1Faster	Alg2Faster
O2_XRIF1	Both	Alg2	VeryDiff	Small	Alg1Faster	Alg2Faster
O2_XRIF2	Both	Mono	Different	Small	Alg1Faster	Alg2Faster
O2_XRIF3	Both	Alg2	Different	Small	Alg1Faster	Alg2Faster
O2_XRIF4	Both	Mono	Likewise	Small	Alg1Faster	Alg2Faster
