RTO_iter	rho	tr	tr_adjusted	event	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
47	1.024626e+00	1.000000e+00	1.000000e+00	trust region too large	-1.796815e+02	-2.102424e+02	4.167237e+01	4.164528e-07	1.138748e-01	3.860751e-01	2.768858e-01	9.608215e-02	1.270822e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.056098e+01	-4.811576e+01	3.849207e+01	-1.781872e+01	-4.167237e+01	-3.961210e-02	-9.048403e-02	-9.088174e-01
48	1.024627e+00	1.000000e+00	1.000000e+00	trust region too large	-1.796084e+02	-2.102468e+02	4.168462e+01	4.165783e-07	1.138358e-01	3.861118e-01	2.768774e-01	9.607059e-02	1.271044e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.063848e+01	-4.813889e+01	3.849388e+01	-1.783189e+01	-4.168462e+01	-3.963797e-02	-9.054564e-02	-9.089450e-01
49	1.024628e+00	1.000000e+00	1.000000e+00	trust region too large	-1.795369e+02	-2.102509e+02	4.169656e+01	4.167007e-07	1.137979e-01	3.861475e-01	2.768693e-01	9.605932e-02	1.271260e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.071412e+01	-4.816144e+01	3.849564e+01	-1.784474e+01	-4.169656e+01	-3.966320e-02	-9.060574e-02	-9.090694e-01
50	1.024631e+00	1.000000e+00	1.000000e+00	trust region too large	-1.794670e+02	-2.102549e+02	4.170820e+01	4.168200e-07	1.137608e-01	3.861824e-01	2.768614e-01	9.604834e-02	1.271470e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.078796e+01	-4.818343e+01	3.849735e+01	-1.785727e+01	-4.170820e+01	-3.968780e-02	-9.066438e-02	-9.091907e-01
51	1.024635e+00	1.000000e+00	1.000000e+00	trust region too large	-1.793987e+02	-2.102587e+02	4.171956e+01	4.169363e-07	1.137248e-01	3.862164e-01	2.768536e-01	9.603763e-02	1.271676e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.086003e+01	-4.820487e+01	3.849901e+01	-1.786949e+01	-4.171956e+01	-3.971178e-02	-9.072158e-02	-9.093090e-01
52	1.024640e+00	1.000000e+00	1.000000e+00	trust region too large	-1.793320e+02	-2.102623e+02	4.173063e+01	4.170498e-07	1.136896e-01	3.862496e-01	2.768461e-01	9.602718e-02	1.271876e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.093038e+01	-4.822578e+01	3.850062e+01	-1.788141e+01	-4.173063e+01	-3.973516e-02	-9.077739e-02	-9.094243e-01
53	1.024647e+00	1.000000e+00	1.000000e+00	trust region too large	-1.792667e+02	-2.102657e+02	4.174143e+01	4.171604e-07	1.136553e-01	3.862819e-01	2.768387e-01	9.601700e-02	1.272071e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.099905e+01	-4.824617e+01	3.850219e+01	-1.789304e+01	-4.174143e+01	-3.975797e-02	-9.083184e-02	-9.095367e-01
54	1.024654e+00	1.000000e+00	1.000000e+00	trust region too large	-1.792029e+02	-2.102690e+02	4.175197e+01	4.172683e-07	1.136219e-01	3.863135e-01	2.768315e-01	9.600707e-02	1.272261e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.106608e+01	-4.826605e+01	3.850372e+01	-1.790438e+01	-4.175197e+01	-3.978021e-02	-9.088497e-02	-9.096464e-01
55	1.024662e+00	1.000000e+00	1.000000e+00	trust region too large	-1.791406e+02	-2.102721e+02	4.176224e+01	4.173736e-07	1.135892e-01	3.863443e-01	2.768245e-01	9.599738e-02	1.272446e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.113152e+01	-4.828545e+01	3.850520e+01	-1.791544e+01	-4.176224e+01	-3.980190e-02	-9.093681e-02	-9.097533e-01
56	1.024672e+00	1.000000e+00	1.000000e+00	trust region too large	-1.790797e+02	-2.102750e+02	4.177226e+01	4.174762e-07	1.135575e-01	3.863743e-01	2.768177e-01	9.598794e-02	1.272627e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.119540e+01	-4.830436e+01	3.850665e+01	-1.792623e+01	-4.177226e+01	-3.982305e-02	-9.098739e-02	-9.098576e-01
