RTO_iter	rho	tr	tr_adjusted	event	base_cost	base_con	merit	base_merit	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
35	4.009188e-01	5.000000e-04	5.000000e-04		-2.103326e+02	2.157659e-08	-2.103324e+01	-2.103324e+01	-1.761701e+02	-2.103326e+02	4.807917e-02	2.019315e-08	1.122373e-01	3.876500e-01	2.764844e-01	9.554912e-02	1.280792e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.416247e+01	-4.912041e+01	3.857108e+01	-1.843244e+01	-4.807915e-02	-1.823001e-03	6.379590e-04	-1.753137e-03
36	-1.297721e+00	5.000000e-04	2.500000e-04		-2.103328e+02	3.099487e-08	-2.103327e+01	-2.103325e+01	-1.761817e+02	-2.103329e+02	4.807564e-02	2.020143e-08	1.121413e-01	3.877231e-01	2.765012e-01	9.555872e-02	1.280756e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.415114e+01	-4.915437e+01	3.856852e+01	-1.842009e+01	-4.807561e-02	-1.833101e-03	6.415743e-04	-1.752763e-03
37	2.409709e-01	2.500000e-04	2.500000e-04				-2.103330e+01		-1.762957e+02	-2.103332e+02	4.804620e-02	1.963650e-08	1.124238e-01	3.874952e-01	2.764779e-01	9.555688e-02	1.280462e-01												
38	5.966210e-01	2.500000e-04	2.500000e-04		-2.103329e+02	3.778675e-08	-2.103328e+01	-2.103326e+01	-1.762435e+02	-2.103330e+02	4.805966e-02	1.761747e-08	1.122810e-01	3.876100e-01	2.764906e-01	9.555875e-02	1.280597e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.408945e+01	-4.909636e+01	3.856989e+01	-1.842139e+01	-4.805962e-02	-1.817249e-03	6.353490e-04	-1.753048e-03
39	3.732118e-01	2.500000e-04	2.500000e-04		-2.103330e+02	2.677364e-08	-2.103329e+01	-2.103327e+01	-1.762356e+02	-2.103331e+02	4.806140e-02	1.905729e-08	1.121990e-01	3.876739e-01	2.765018e-01	9.556379e-02	1.280614e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.409737e+01	-4.912728e+01	3.856825e+01	-1.841462e+01	-4.806138e-02	-1.826126e-03	6.386530e-04	-1.752788e-03
40	2.595020e-01	2.500000e-04	2.500000e-04		-2.103331e+02	3.052221e-08	-2.103329e+01	-2.103328e+01	-1.762921e+02	-2.103331e+02	4.804665e-02	1.981370e-08	1.122998e-01	3.875913e-01	2.764963e-01	9.556594e-02	1.280466e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.404100e+01	-4.908412e+01	3.856887e+01	-1.841302e+01	-4.804662e-02	-1.814514e-03	6.340124e-04	-1.752953e-03
41	-3.041658e-02	2.500000e-04	1.250000e-04		-2.103332e+02	3.132258e-08	-2.103331e+01	-2.103329e+01	-1.762745e+02	-2.103332e+02	4.805095e-02	1.977621e-08	1.121981e-01	3.876713e-01	2.765089e-01	9.557079e-02	1.280509e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.405871e+01	-4.912337e+01	3.856706e+01	-1.840628e+01	-4.805092e-02	-1.825651e-03	6.382115e-04	-1.752657e-03
42	6.589550e-01	1.250000e-04	1.250000e-04				-2.103331e+01		-1.763357e+02	-2.103333e+02	4.803502e-02	2.019542e-08	1.123283e-01	3.875656e-01	2.764997e-01	9.557149e-02	1.280350e-01												
43	6.947374e-01	1.250000e-04	1.250000e-04		-2.103332e+02	2.317114e-08	-2.103331e+01	-2.103330e+01	-1.763104e+02	-2.103332e+02	4.804159e-02	1.774465e-08	1.122707e-01	3.876122e-01	2.765040e-01	9.557149e-02	1.280416e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.402284e+01	-4.909281e+01	3.856766e+01	-1.840614e+01	-4.804157e-02	-1.817356e-03	6.349279e-04	-1.752792e-03
44	8.300768e-01	1.250000e-04	1.250000e-04		-2.103333e+02	1.976089e-08	-2.103331e+01	-2.103331e+01	-1.763099e+02	-2.103333e+02	4.804155e-02	1.771311e-08	1.122310e-01	3.876428e-01	2.765101e-01	9.557452e-02	1.280415e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.402337e+01	-4.910739e+01	3.856677e+01	-1.840217e+01	-4.804153e-02	-1.821601e-03	6.364853e-04	-1.752655e-03
45	6.204971e-01	1.250000e-04	1.250000e-04		-2.103333e+02	2.205105e-08	-2.103331e+01	-2.103331e+01	-1.763361e+02	-2.103333e+02	4.803462e-02	2.080650e-08	1.122632e-01	3.876158e-01	2.765098e-01	9.557668e-02	1.280346e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.399720e+01	-4.909272e+01	3.856672e+01	-1.839991e+01	-4.803460e-02	-1.817773e-03	6.349025e-04	-1.752681e-03
46	6.809976e-01	1.250000e-04	1.250000e-04		-2.103334e+02	2.224919e-08	-2.103332e+01	-2.103331e+01	-1.763390e+02	-2.103334e+02	4.803369e-02	2.080629e-08	1.122314e-01	3.876400e-01	2.765152e-01	9.557970e-02	1.280337e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.399431e+01	-4.910405e+01	3.856590e+01	-1.839601e+01	-4.803366e-02	-1.821127e-03	6.361104e-04	-1.752560e-03
47	-3.282531e-01	1.250000e-04	6.250000e-05		-2.103334e+02	2.158629e-08	-2.103332e+01	-2.103332e+01	-1.763695e+02	-2.103334e+02	4.802567e-02	1.917317e-08	1.122786e-01	3.876010e-01	2.765133e-01	9.558144e-02	1.280257e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.396389e+01	-4.908341e+01	3.856607e+01	-1.839439e+01	-4.802565e-02	-1.815630e-03	6.338868e-04	-1.752624e-03
48	6.006585e-01	6.250000e-05	6.250000e-05				-2.103332e+01		-1.763634e+02	-2.103335e+02	4.802709e-02	2.298913e-08	1.122269e-01	3.876414e-01	2.765202e-01	9.558442e-02	1.280271e-01												
49	8.186270e-01	6.250000e-05	6.250000e-05		-2.103334e+02	1.942741e-08	-2.103333e+01	-2.103332e+01	-1.763658e+02	-2.103334e+02	4.802652e-02	1.771244e-08	1.122420e-01	3.876295e-01	2.765183e-01	9.558364e-02	1.280265e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.396767e+01	-4.909723e+01	3.856534e+01	-1.839143e+01	-4.802650e-02	-1.819594e-03	6.353643e-04	-1.752509e-03
50	5.190762e-01	6.250000e-05	6.250000e-05		-2.103335e+02	1.996712e-08	-2.103333e+01	-2.103333e+01	-1.763856e+02	-2.103334e+02	4.802128e-02	1.918916e-08	1.122674e-01	3.876082e-01	2.765179e-01	9.558519e-02	1.280213e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.394788e+01	-4.908574e+01	3.856533e+01	-1.838983e+01	-4.802126e-02	-1.816585e-03	6.341253e-04	-1.752532e-03
51	6.071887e-01	6.250000e-05	6.250000e-05		-2.103335e+02	2.019596e-08	-2.103333e+01	-2.103333e+01	-1.763865e+02	-2.103335e+02	4.802090e-02	1.918886e-08	1.122413e-01	3.876283e-01	2.765221e-01	9.558743e-02	1.280209e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.394693e+01	-4.909521e+01	3.856470e+01	-1.838693e+01	-4.802088e-02	-1.819362e-03	6.351353e-04	-1.752437e-03
52	1.859911e-01	6.250000e-05	6.250000e-05		-2.103335e+02	1.924632e-08	-2.103333e+01	-2.103333e+01	-1.764104e+02	-2.103335e+02	4.801462e-02	1.750210e-08	1.122819e-01	3.875949e-01	2.765201e-01	9.558851e-02	1.280146e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.392306e+01	-4.907769e+01	3.856492e+01	-1.838603e+01	-4.801461e-02	-1.814661e-03	6.332483e-04	-1.752500e-03
53	-1.595945e-02	6.250000e-05	3.125000e-05		-2.103335e+02	1.975188e-08	-2.103333e+01	-2.103333e+01	-1.764036e+02	-2.103335e+02	4.801628e-02	1.750199e-08	1.122390e-01	3.876285e-01	2.765255e-01	9.559066e-02	1.280163e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.392993e+01	-4.909415e+01	3.856414e+01	-1.838307e+01	-4.801626e-02	-1.819346e-03	6.350114e-04	-1.752373e-03
54	-4.266473e-01	3.125000e-05	1.562500e-05				-2.103333e+01		-1.764305e+02	-2.103335e+02	4.800927e-02	1.750228e-08	1.122971e-01	3.875815e-01	2.765213e-01	9.559090e-02	1.280093e-01												
55	2.582914e-01	1.562500e-05	1.562500e-05				-2.103333e+01		-1.764274e+02	-2.103335e+02	4.801008e-02	1.970229e-08	1.122895e-01	3.875875e-01	2.765219e-01	9.559094e-02	1.280101e-01												
