RTO_iter	rho	tr	tr_adjusted	event	base_cost	base_con	merit	base_merit	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
45	3.056545e-02	3.125000e-04	3.125000e-04		-2.103328e+02	1.103226e-08	-2.103329e+01	-2.103327e+01	-1.762011e+02	-2.103329e+02	4.807059e-02	8.993412e-10	1.121813e-01	3.876906e-01	2.764985e-01	9.555903e-02	1.280706e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.413172e+01	-4.913759e+01	3.856887e+01	-1.842011e+01	-4.807058e-02	-1.828540e-03	6.397736e-04	-1.752840e-03
46	2.539274e-01	3.125000e-04	3.125000e-04		-2.103329e+02	2.289107e-08	-2.103330e+01	-2.103327e+01	-1.762741e+02	-2.103330e+02	4.805160e-02	8.993411e-10	1.123263e-01	3.875724e-01	2.764890e-01	9.556065e-02	1.280516e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.405886e+01	-4.907639e+01	3.857001e+01	-1.841956e+01	-4.805157e-02	-1.811956e-03	6.331995e-04	-1.753105e-03
47	-3.209434e-02	3.125000e-04	1.562500e-04		-2.103330e+02	2.195696e-08	-2.103332e+01	-2.103328e+01	-1.762446e+02	-2.103332e+02	4.805892e-02	8.993412e-10	1.121874e-01	3.876821e-01	2.765052e-01	9.556631e-02	1.280589e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.408840e+01	-4.913056e+01	3.856771e+01	-1.841151e+01	-4.805890e-02	-1.827238e-03	6.389977e-04	-1.752718e-03
48	6.741621e-01	1.562500e-04	1.562500e-04				-2.103332e+01		-1.763196e+02	-2.103332e+02	4.803944e-02	8.993415e-10	1.123503e-01	3.875500e-01	2.764934e-01	9.556688e-02	1.280394e-01												
49	6.754276e-01	1.562500e-04	1.562500e-04		-2.103331e+02	8.378612e-09	-2.103331e+01	-2.103330e+01	-1.762864e+02	-2.103331e+02	4.804805e-02	8.993412e-10	1.122725e-01	3.876129e-01	2.764995e-01	9.556707e-02	1.280480e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.404667e+01	-4.909477e+01	3.856843e+01	-1.841142e+01	-4.804804e-02	-1.817520e-03	6.351537e-04	-1.752877e-03
50	8.590271e-01	1.562500e-04	1.562500e-04		-2.103331e+02	3.813323e-09	-2.103332e+01	-2.103331e+01	-1.762848e+02	-2.103332e+02	4.804827e-02	8.993409e-10	1.122242e-01	3.876503e-01	2.765067e-01	9.557057e-02	1.280483e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.404837e+01	-4.911267e+01	3.856737e+01	-1.840680e+01	-4.804827e-02	-1.822711e-03	6.370654e-04	-1.752714e-03
51	5.625823e-01	1.562500e-04	1.562500e-04		-2.103332e+02	2.821739e-09	-2.103332e+01	-2.103332e+01	-1.763163e+02	-2.103332e+02	4.803997e-02	8.993414e-10	1.122650e-01	3.876161e-01	2.765059e-01	9.557298e-02	1.280400e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.401695e+01	-4.909425e+01	3.856736e+01	-1.840432e+01	-4.803997e-02	-1.817879e-03	6.350794e-04	-1.752753e-03
52	4.600939e-01	1.562500e-04	1.562500e-04		-2.103333e+02	3.143446e-09	-2.103333e+01	-2.103332e+01	-1.763177e+02	-2.103333e+02	4.803940e-02	8.993411e-10	1.122236e-01	3.876479e-01	2.765126e-01	9.557649e-02	1.280394e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.401557e+01	-4.910925e+01	3.856637e+01	-1.839976e+01	-4.803939e-02	-1.822278e-03	6.366800e-04	-1.752604e-03
53	2.345594e-01	1.562500e-04	1.562500e-04		-2.103333e+02	5.055451e-09	-2.103333e+01	-2.103333e+01	-1.763550e+02	-2.103333e+02	4.802962e-02	8.993413e-10	1.122862e-01	3.875964e-01	2.765096e-01	9.557824e-02	1.280296e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.397833e+01	-4.908222e+01	3.856669e+01	-1.839827e+01	-4.802961e-02	-1.815035e-03	6.337700e-04	-1.752698e-03
54	1.000000e+00	1.562500e-04		plant converges	-2.103334e+02	5.979670e-09	-2.103334e+01	-2.103333e+01	-1.763448e+02	-2.103334e+02	4.803205e-02	8.993414e-10	1.122200e-01	3.876483e-01	2.765180e-01	9.558163e-02	1.280321e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.398851e+01	-4.910759e+01	3.856547e+01	-1.839361e+01	-4.803205e-02	-1.822259e-03	6.364850e-04	-1.752501e-03
